name,freq_in_corpus
Щек,7.859958309794697e-05
Зіновій,7.831920408570697e-05
Подолян,7.570233330480029e-05
Радован,7.205740614568027e-05
Володислав,7.168356746269361e-05
Анастас,6.925361602328027e-05
Аврам,6.878631766954695e-05
Святогор,6.83190193158136e-05
Осмомисл,6.738442260834694e-05
Славомир,6.598252754714692e-05
Гервасій,6.495447116893358e-05
Одинець,6.17768423635469e-05
Тодось,5.9440350594880235e-05
Адріян,5.897305224114691e-05
Царук,5.84122942166669e-05
Євстафій,5.5608504094266885e-05
Всеслав,5.1402818910666864e-05
Ярополк,5.028130286170686e-05
Яромир,4.644945636109352e-05
Горун,4.588869833661351e-05
Світозар,4.4954101629146854e-05
Андрон,4.439334360466684e-05
Атанас,4.411296459242684e-05
Конон,3.962690039658682e-05
Доброслав,3.859884401837349e-05
Порфир,3.8225005335386817e-05
Зореслав,3.682311027418682e-05
Собібор,3.672965060344015e-05
Ладислав,3.6262352249706806e-05
Яр,3.4206239493280145e-05
Грива,3.243050574909346e-05
Станислав,3.102861068789346e-05
Теодозій,3.102861068789346e-05
Братко,2.8972497931466783e-05
Пимен,2.8037901224000117e-05
Ясен,2.7570602870266775e-05
Нагнибіда,2.7103304516533437e-05
Ярема,2.5421030443093436e-05
Авксентій,2.3551837028160093e-05
Звенигор,2.3271458015920093e-05
Рогволод,2.3271458015920093e-05
Рудан,2.2804159662186755e-05
Світовид,2.233686130845342e-05
Здоровега,1.9533071186053408e-05
Олелько,1.7944256783360068e-05
Автоном,1.6729281063653402e-05
Хорошко,1.6729281063653402e-05
Тихомир,1.61685230391734e-05
Станимир,1.579468435618673e-05
Будимир,1.5233926331706728e-05
Родан,1.4860087648720059e-05
Добромир,1.4766627977973391e-05
Брячислав,1.4673168307226729e-05
Авакум,1.4392789294986724e-05
Ревун,1.3364732916773386e-05
Радим,1.2523595880053383e-05
Вратислав,1.2149757197066715e-05
Драгомир,1.196283785557338e-05
Радко,1.1402079831093378e-05
Ладимир,1.0934781477360046e-05
Дорофій,1.0654402465120043e-05
Хотимир,1.0654402465120043e-05
Далібор,1.046748312362671e-05
Молибог,1.037402345288004e-05
Милослав,1.0280563782133373e-05
Вишеслав,9.71980575765337e-06
Ладомир,9.532886416160036e-06
Євлампій,9.43942674541337e-06
Судислав,9.159047733173369e-06
Собіслав,8.878668720933368e-06
Вишата,8.598289708693368e-06
Найден,8.5048300379467e-06
Ратислав,8.037531684213366e-06
Атрей,7.85061234272003e-06
Татомир,7.757152671973364e-06
Чернин,7.757152671973364e-06
Рава,7.663693001226699e-06
Полель,7.476773659733362e-06
Божедар,7.3833139889866956e-06
Родослав,7.289854318240029e-06
Братислав,6.63563662301336e-06
Маломир,6.448717281520025e-06
Яровит,6.448717281520025e-06
Горислав,6.1683382692800245e-06
Гостомисл,6.1683382692800245e-06
Межамир,6.1683382692800245e-06
Остромир,6.074878598533357e-06
Ярчик,6.074878598533357e-06
Дар,5.98141892778669e-06
Милован,5.98141892778669e-06
Цвітан,5.794499586293357e-06
Любослав,5.514120574053355e-06
Вогнедар,4.9533625495733535e-06
Пересвіт,4.9533625495733535e-06
Воротислав,4.766443208080018e-06
Квітан,4.766443208080018e-06
Добрик,4.392604525093351e-06
Добриня,4.392604525093351e-06
Дій,4.205685183600017e-06
Крилач,3.831846500613348e-06
Перелюб,3.738386829866681e-06
Твердислав,3.738386829866681e-06
Мудролюб,3.6449271591200144e-06
Буймир,3.5514674883733476e-06
Добромисл,3.5514674883733476e-06
Живосил,3.4580078176266803e-06
Перемисл,3.2710884761333463e-06
Гуляйвітер,2.803790122400011e-06
Звенислав,2.803790122400011e-06
Тиміш,2.803790122400011e-06
Острозор,2.710330451653344e-06
Позвізд,2.710330451653344e-06
Гордослав,2.616870780906677e-06
Радомисл,2.616870780906677e-06
Ратимир,2.616870780906677e-06
Рожден,2.52341111016001e-06
Буйтур,2.336491768666676e-06
Держикрай,2.336491768666676e-06
Дорогочин,2.336491768666676e-06
Анісій,2.2430320979200093e-06
Миролюб,2.2430320979200093e-06
Сварг,2.0561127564266744e-06
Худан,2.0561127564266744e-06
Білян,1.8691934149333406e-06
Велемир,1.8691934149333406e-06
Вербан,1.8691934149333406e-06
Вірослав,1.8691934149333406e-06
Всевлад,1.8691934149333406e-06
Даромир,1.8691934149333406e-06
Скол,1.5888144026933397e-06
Хвалибог,1.5888144026933397e-06
Божан,1.4953547319466725e-06
Вітан,1.4953547319466725e-06
Доброгост,1.4953547319466725e-06
Благодар,1.2149757197066712e-06
Боримисл,1.2149757197066712e-06
Святовид,1.2149757197066712e-06
Ясновид,1.2149757197066712e-06
