name,freq_in_corpus
Рут,0.0004017765414342132
Агнеса,0.000397667103952982
Сусанна,0.0003922932241698336
Жозефіна,0.00039071267129243704
Юстина,0.0003856549020847679
Мавка,0.0003850226809338093
Карина,0.0003831260174809334
Віола,0.0003749071425184711
Цецилія,0.0003730104790655952
Лукія,0.0003565727291406707
Роксана,0.0003350772100080771
Аїда,0.00033318054655520114
Михайлина,0.0003322322148287632
Алевтина,0.0003243294504417803
Ярослава,0.00031927168123411115
Казимира,0.0003183233495076732
Серафима,0.0003126333591490455
Власта,0.00030915614281877297
Любов,0.00030504670533754185
Божена,0.0002936667246202864
Альфреда,0.00029113784001645187
Северина,0.00028418340735590685
Віргінія,0.00028165452275207237
Есмеральда,0.0002791256381482378
Анфіса,0.00027343564778961
Мотрона,0.0002582623401666028
Мальвіна,0.0002487790229022232
Едіта,0.000240560147939761
Беатриса,0.0002396118162133231
Аглая,0.0002367668210340092
Юзефа,0.00023645071045852984
Аделіна,0.00023076072009990214
Млада,0.00022918016722250553
Агафія,0.000226651282618671
Настасія,0.00022538684031675373
Лукреція,0.00021969684995812598
Секлета,0.00021558741247689487
Гликерія,0.00021400685959949828
Пелагія,0.0002108457538447051
Харитина,0.00020104632600484625
Орина,0.00019914966255197035
Аеліта,0.00019693688852361508
Милана,0.00019598855679717715
Аза,0.00019377578276882196
Радослава,0.00017955080687225263
Хівря,0.00017860247514581466
Нінель,0.00016943526845691445
Броніслава,0.00015521029256034512
Ріана,0.0001498364127771967
Капітоліна,0.00014730752817336217
Устина,0.00014509475414500696
Дана,0.00013814032148446196
Векла,0.00013308255227679287
Глафіра,0.00013308255227679287
Февронія,0.00012043812925762018
Гафія,0.0001194897975311822
Чеслава,0.00011854146580474425
Мстислава,0.00011664480235186833
Іларія,0.00011569647062543042
Домаха,0.00011190314371967859
Раїна,0.00010779370623844746
Густава,0.00010494871105913357
Зореслава,9.925872070050584e-05
Аврелія,9.736205724762994e-05
Ельвіна,9.135595631352289e-05
Ракель,8.945929286064699e-05
Аполлонія,8.345319192653994e-05
Болеслава,7.207321120928452e-05
Борислава,6.606711027517746e-05
Агрипина,6.448655739778086e-05
Агнія,6.258989394490496e-05
Есфір,6.258989394490496e-05
Азалія,6.069323049202905e-05
Євфросинія,5.8164345888194504e-05
Югина,5.3422687256004735e-05
Мечислава,5.279046610504611e-05
Пульхерія,5.279046610504611e-05
Ісидора,5.026158150121156e-05
Афанасія,4.9945470925732245e-05
Феліція,4.836491804833565e-05
Георгіна,4.5203812293542475e-05
Богуслава,4.393936999162521e-05
Дзвенислава,4.393936999162521e-05
Світозара,3.8881600783956115e-05
Аполлінарія,3.382383157628702e-05
Юнія,3.350772100080771e-05
Альбертина,3.2559389274369755e-05
Русудан,0.004848715743977955
Вікторина,2.9398283519576576e-05
Рошель,2.7501620066700666e-05
Всеслава,2.5288846038345436e-05
Юдита,2.434051431190749e-05
Гаїна,2.2759961434510896e-05
Фотина,2.181162970807294e-05
Пистина,1.8650523953279763e-05
Артемізія,1.6437749924924533e-05
Дорофея,1.6437749924924533e-05
Вілена,1.6121639349445216e-05
Ася,1.2644423019172718e-05
Цвітана,1.106387014177613e-05
Родослава,1.0747759566296813e-05
Віринея,9.167206688900221e-06
Звенислава,8.218874962462266e-06
Антонія,6.9544326605449956e-06
Акилина,6.322211509586359e-06
Севастіана,6.322211509586359e-06
Єпистимія,6.006100934107042e-06
Корина,5.689990358627723e-06
Ружена,5.689990358627723e-06
Яромира,5.3738797831484065e-06
Мелітина,4.4255480567104515e-06
Звонимира,4.109437481231133e-06
Юхимія,3.4772163302724978e-06
Антонида,2.5288846038345437e-06
Руфина,2.2127740283552257e-06
Васса,1.8966634528759078e-06
Рожана,1.5805528773965897e-06
Кикилія,9.483317264379539e-07
Радмила,9.483317264379539e-07
Ревека,6.322211509586359e-07
Рогнеда,6.322211509586359e-07
Агафоника,3.1611057547931796e-07
В'ячеслава,3.1611057547931796e-07
Ігорина,3.1611057547931796e-07
Трояна,3.1611057547931796e-07
